run,timestamp,reranker,category,n,final_k,buffer,rerank_window,baseline_hit_rate,reranked_hit_rate,baseline_mrr,reranked_mrr,n_improved,n_worsened,n_unchanged,n_stage1_miss,avg_embed_latency_sec,avg_rerank_latency_sec,faq_corpus_embed_time_sec
1,2026-09-11 17:10:32,jina-reranker-v2,구어체,10,5,15,20,1.0,1.0,1.0,0.875,0,2,8,0,,,
1,2026-09-11 17:10:32,jina-reranker-v2,긴질문,10,5,15,20,1.0,1.0,0.825,0.687,0,4,6,0,,,
1,2026-09-11 17:10:32,jina-reranker-v2,오타,10,5,15,20,1.0,0.9,1.0,0.9,0,1,9,0,,,
1,2026-09-11 17:10:32,jina-reranker-v2,확장,178,5,15,20,1.0,1.0,1.0,0.996,0,1,177,0,,,
1,2026-09-11 17:10:32,jina-reranker-v2,전체,235,5,20,25,0.983,0.983,0.961,0.948,4,10,221,0,0.0505,0.01762,0.878
1,2026-09-11 17:10:32,jina-reranker-v2,Easy,9,5,20,25,1.0,1.0,0.87,0.917,1,1,7,0,,,
1,2026-09-11 17:10:32,jina-reranker-v2,Hard,9,5,20,25,0.778,0.778,0.722,0.689,1,1,7,0,,,
1,2026-09-11 17:10:32,jina-reranker-v2,Medium,9,5,20,25,0.778,0.889,0.578,0.704,2,0,7,0,,,
1,2026-09-11 17:10:32,jina-reranker-v2,구어체,10,5,20,25,1.0,1.0,1.0,0.87,0,2,8,0,,,
1,2026-09-11 17:10:32,jina-reranker-v2,긴질문,10,5,20,25,1.0,1.0,0.825,0.687,0,4,6,0,,,
1,2026-09-11 17:10:32,jina-reranker-v2,오타,10,5,20,25,1.0,0.9,1.0,0.9,0,1,9,0,,,
1,2026-09-11 17:10:32,jina-reranker-v2,확장,178,5,20,25,1.0,1.0,1.0,0.996,0,1,177,0,,,
