run,timestamp,reranker,category,n,top_k,baseline_top1,reranked_top1,baseline_mrr,reranked_mrr,n_improved,n_worsened,n_unchanged,n_stage1_miss,avg_embed_latency_sec,avg_rerank_latency_sec,faq_corpus_embed_time_sec
2,2026-09-11 15:23:38,jina-reranker-v2,확장,178,3,1.0,0.994,1.0,0.996,0,1,177,0,,,
2,2026-09-11 15:23:38,jina-reranker-v2,전체,235,5,0.945,0.928,0.963,0.951,4,7,220,4,0.03233,0.01027,0.931
2,2026-09-11 15:23:38,jina-reranker-v2,Easy,9,5,0.778,0.889,0.87,0.917,1,1,7,0,,,
2,2026-09-11 15:23:38,jina-reranker-v2,Hard,9,5,0.667,0.667,0.748,0.704,1,1,5,2,,,
2,2026-09-11 15:23:38,jina-reranker-v2,Medium,9,5,0.444,0.444,0.601,0.611,1,0,6,2,,,
2,2026-09-11 15:23:38,jina-reranker-v2,구어체,10,5,1.0,0.8,1.0,0.9,0,2,8,0,,,
2,2026-09-11 15:23:38,jina-reranker-v2,긴질문,10,5,0.7,0.6,0.825,0.783,1,1,8,0,,,
2,2026-09-11 15:23:38,jina-reranker-v2,오타,10,5,1.0,0.9,1.0,0.92,0,1,9,0,,,
2,2026-09-11 15:23:38,jina-reranker-v2,확장,178,5,1.0,0.994,1.0,0.996,0,1,177,0,,,
2,2026-09-11 15:23:38,jina-reranker-v2,전체,235,10,0.945,0.928,0.963,0.953,5,9,221,0,0.03233,0.01202,0.931
2,2026-09-11 15:23:38,jina-reranker-v2,Easy,9,10,0.778,0.889,0.87,0.926,1,0,8,0,,,
2,2026-09-11 15:23:38,jina-reranker-v2,Hard,9,10,0.667,0.667,0.748,0.719,1,2,6,0,,,
2,2026-09-11 15:23:38,jina-reranker-v2,Medium,9,10,0.444,0.556,0.601,0.733,2,0,7,0,,,
2,2026-09-11 15:23:38,jina-reranker-v2,구어체,10,10,1.0,0.8,1.0,0.883,0,2,8,0,,,
2,2026-09-11 15:23:38,jina-reranker-v2,긴질문,10,10,0.7,0.5,0.825,0.717,1,3,6,0,,,
2,2026-09-11 15:23:38,jina-reranker-v2,오타,10,10,1.0,0.9,1.0,0.914,0,1,9,0,,,
2,2026-09-11 15:23:38,jina-reranker-v2,확장,178,10,1.0,0.994,1.0,0.996,0,1,177,0,,,
2,2026-09-11 15:23:38,jina-reranker-v2,전체,235,15,0.945,0.928,0.963,0.951,4,12,219,0,0.03233,0.01275,0.931
2,2026-09-11 15:23:38,jina-reranker-v2,Easy,9,15,0.778,0.889,0.87,0.917,1,1,7,0,,,
